DEPTH,Ga,Si,O,C
3.96E+01,0.00E+00,0.00E+00,1.09E+02,9.42E-05
4.01E+01,0.00E+00,0.00E+00,5.45E+01,7.04E-05
4.07E+01,0.00E+00,0.00E+00,5.45E+01,5.25E-05
4.12E+01,0.00E+00,0.00E+00,1.82E+01,3.25E-05
4.18E+01,0.00E+00,0.00E+00,3.64E+01,2.80E-05
4.23E+01,0.00E+00,0.00E+00,0.00E+00,2.24E-05
4.29E+01,0.00E+00,0.00E+00,1.82E+01,1.49E-05
4.34E+01,0.00E+00,0.00E+00,0.00E+00,9.09E-06
4.40E+01,0.00E+00,0.00E+00,0.00E+00,7.64E-06
4.45E+01,0.00E+00,0.00E+00,3.64E+01,4.00E-06
4.51E+01,0.00E+00,0.00E+00,0.00E+00,4.73E-06
4.56E+01,0.00E+00,0.00E+00,0.00E+00,2.18E-06
4.62E+01,0.00E+00,0.00E+00,0.00E+00,9.09E-07
4.67E+01,0.00E+00,0.00E+00,0.00E+00,1.82E-06
4.73E+01,0.00E+00,0.00E+00,0.00E+00,4.55E-06
4.78E+01,0.00E+00,0.00E+00,0.00E+00,5.45E-07
4.84E+01,0.00E+00,0.00E+00,1.82E+01,1.82E-07
4.89E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.95E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
